school,failures,higher,Dalc,absences,alcStudyTime,WalcAbsence,parentsEdu,G1,G2,G3,GN1,GN2,GN3,PF1,PF2,PF3
0,0,0,0,0.125,0.334168755,0.062656642,0.510309278,0,0.55,0.55,0,0.5,0.5,0,1,1
0,0,0,0,0.0625,0.334168755,0.031328321,0.465206186,0.45,0.55,0.55,0,0.5,0.5,0,1,1
0,0,0,0.25,0.1875,0.458855472,0.343358396,0.4375,0.6,0.65,0.6,0.5,0.5,0.5,1,1,1
0,0,0,0,0,0.167084378,0,0.795103093,0.7,0.7,0.7,0.5,0.5,0.5,1,1,1
0,0,0,0,0,0.334168755,0.124686717,0.795103093,0.55,0.65,0.65,0.5,0.5,0.5,1,1,1
0,0,0,0,0.1875,0.334168755,0.218671679,0.795103093,0.6,0.6,0.65,0.5,0.5,0.5,1,1,1
0,0,0,0,0,0.334168755,0,0.510309278,0.65,0.6,0.65,0.5,0.5,0.5,1,1,1
0,0,0,0,0.0625,0.334168755,0.031328321,0.135309278,0.5,0.65,0.65,0.5,0.5,0.5,1,1,1
0,0,0,0,0,0.334168755,0,0.045103093,0.75,0.8,0.85,1,1,1,1,1,1
0,0,0,0,0,0.334168755,0,0.75,0.6,0.6,0.65,0.5,0.5,0.5,1,1,1
0,0,0,0,0.0625,0.334168755,0.156015038,0.277706186,0.7,0.7,0.7,0.5,0.5,0.5,1,1,1
0,0,0,0,0,0.167084378,0,0.607603093,0.5,0.6,0.65,0.5,0.5,0.5,1,1,1
0,0,0,0,0,0.501253133,0.249373434,0.840206186,0.6,0.65,0.6,0.5,0.5,0.5,1,1,1
0,0,0,0,0,0.334168755,0.124686717,0.465206186,0.6,0.6,0.65,0.5,0.5,0.5,1,1,1
0,0,0,0,0,0.167084378,0,0.420103093,0.7,0.7,0.75,0.5,0.5,1,1,1,1
0,0,0,0,0.1875,0.501253133,0.218671679,0.322809278,0.85,0.85,0.85,1,1,1,1,1,1
0,0,0,0,0.3125,0.167084378,0.281328321,0.277706186,0.65,0.65,0.7,0.5,0.5,0.5,1,1,1
0,0,0,0,0.0625,0.334168755,0.031328321,0.607603093,0.65,0.7,0.7,0.5,0.5,0.5,1,1,1
0,0.75,0,0.25,0.0625,0.62593985,0.405388471,0.947809278,0.4,0.4,0.35,0,0,0,0,0,0
0,0,0,0,0.1875,0.501253133,0.343358396,0.840206186,0.6,0.6,0.6,0.5,0.5,0.5,1,1,1
0,0,0,0,0,0.334168755,0,0,0.6,0.65,0.7,0.5,0.5,0.5,1,1,1
0,0,0,0,0,0.501253133,0,0.795103093,0.55,0.6,0.6,0.5,0.5,0.5,1,1,1
0,0,0,0,0,0.334168755,0.249373434,0.75,0.6,0.65,0.7,0.5,0.5,0.5,1,1,1
0,0,0,0.25,0.0625,0.458855472,0.405388471,0.902706186,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1
0,0,0,0,0.0625,0.167084378,0.031328321,0.795103093,0.5,0.55,0.5,0.5,0.5,0.5,1,1,1
0,0,0,0,0.1875,0.501253133,0.343358396,0.795103093,0.5,0.55,0.6,0.5,0.5,0.5,1,1,1
0,0,0,0,0.25,0.501253133,0.25,0.795103093,0.55,0.6,0.6,0.5,0.5,0.5,1,1,1
0,0,0,0.25,0,0.62593985,0.37406015,0.152706186,0.55,0.55,0.55,0.5,0.5,0.5,1,1,1
0,0,0,0,0.0625,0.334168755,0.031328321,0.840206186,0.6,0.6,0.65,0.5,0.5,0.5,1,1,1
0,0,0,1,0.125,0.832915622,0.561403509,1,0.6,0.55,0.6,0.5,0.5,0.5,1,1,1
0,0,0,0.5,0,0.583542189,0.37406015,0.829896907,0.5,0.55,0.55,0.5,0.5,0.5,1,1,1
0,0,0,0,0.0625,0.334168755,0.031328321,0.75,0.75,0.75,0.75,1,1,1,1,1,1
